datetime,temperature,lighting,humidity,pressure
2049-01-01 00:00:00,-18.0,-1.0,0.71,785.87
2049-01-01 00:30:00,-17.99,-1.0,0.7,785.32
2049-01-01 01:00:00,-17.96,-1.0,0.79,790.07
2049-01-01 01:30:00,-17.92,-1.0,0.76,788.4
2049-01-01 02:00:00,-17.86,-0.99,0.82,791.5
2049-01-01 02:30:00,-17.78,-0.98,0.72,786.04
2049-01-01 03:00:00,-17.7,-0.95,0.75,787.51
2049-01-01 03:30:00,-17.59,-0.92,0.74,786.8
2049-01-01 04:00:00,-17.48,-0.87,0.79,789.28
2049-01-01 04:30:00,-17.36,-0.79,0.7,784.29
2049-01-01 05:00:00,-17.23,-0.7,0.73,785.68
2049-01-01 05:30:00,-17.1,-0.6,0.75,786.53
2049-01-01 06:00:00,-16.97,-0.47,0.71,784.19
2049-01-01 06:30:00,-16.83,-0.32,0.78,787.69
2049-01-01 07:00:00,-16.7,-0.16,0.7,783.21
2049-01-01 07:30:00,-16.58,0.01,0.76,786.21
2049-01-01 08:00:00,-16.46,0.18,0.71,783.35
2049-01-01 08:30:00,-16.35,0.35,0.8,787.97
2049-01-01 09:00:00,-16.26,0.52,0.79,787.29
2049-01-01 09:30:00,-16.18,0.66,0.66,780.23
2049-01-01 10:00:00,-16.11,0.79,0.77,785.98
2049-01-01 10:30:00,-16.05,0.89,0.73,783.75
2049-01-01 11:00:00,-16.02,0.96,0.79,786.9
2049-01-01 11:30:00,-16.0,1.0,0.81,787.93
2049-01-01 12:00:00,-16.0,1.0,0.71,782.6
2049-01-01 12:30:00,-16.02,0.96,0.69,781.57
2049-01-01 13:00:00,-16.05,0.89,0.76,785.35
2049-01-01 13:30:00,-16.11,0.79,0.74,784.38
2049-01-01 14:00:00,-16.17,0.66,0.78,786.61
2049-01-01 14:30:00,-16.26,0.52,0.77,786.23
2049-01-01 15:00:00,-16.35,0.35,0.71,783.17
2049-01-01 15:30:00,-16.46,0.18,0.8,788.15
2049-01-01 16:00:00,-16.58,0.01,0.69,782.48
2049-01-01 16:30:00,-16.7,-0.16,0.71,783.74
2049-01-01 17:00:00,-16.83,-0.32,0.76,786.62
2049-01-01 17:30:00,-16.96,-0.47,0.78,787.9
2049-01-01 18:00:00,-17.1,-0.6,0.7,783.86
2049-01-01 18:30:00,-17.23,-0.7,0.76,787.28
2049-01-01 19:00:00,-17.36,-0.79,0.73,785.89
2049-01-01 19:30:00,-17.48,-0.87,0.78,788.75
2049-01-01 20:00:00,-17.59,-0.92,0.77,788.4
2049-01-01 20:30:00,-17.69,-0.95,0.79,789.63
2049-01-01 21:00:00,-17.78,-0.98,0.76,788.17
2049-01-01 21:30:00,-17.86,-0.99,0.8,790.44
2049-01-01 22:00:00,-17.92,-1.0,0.7,785.2
2049-01-01 22:30:00,-17.96,-1.0,0.71,785.8
2049-01-01 23:00:00,-17.99,-1.0,0.78,789.58
2049-01-01 23:30:00,-18.0,-1.0,0.76,788.53
2049-01-02 00:00:00,-18.0,-1.0,0.81,791.2
2049-01-02 00:30:00,-17.99,-1.0,0.71,785.85
2049-01-02 01:00:00,-17.96,-1.0,0.68,784.2
2049-01-02 01:30:00,-17.92,-1.0,0.78,789.47
2049-01-02 02:00:00,-17.86,-0.99,0.79,789.9
2049-01-02 02:30:00,-17.78,-0.98,0.65,782.31
2049-01-02 03:00:00,-17.69,-0.95,0.79,789.63
2049-01-02 03:30:00,-17.59,-0.92,0.79,789.46
2049-01-02 04:00:00,-17.48,-0.87,0.73,786.08
2049-01-02 04:30:00,-17.35,-0.79,0.74,786.41
2049-01-02 05:00:00,-17.23,-0.7,0.73,785.68
2049-01-02 05:30:00,-17.09,-0.59,0.79,788.65
2049-01-02 06:00:00,-16.96,-0.47,0.75,786.3
2049-01-02 06:30:00,-16.83,-0.32,0.71,783.96
2049-01-02 07:00:00,-16.7,-0.16,0.7,783.21
2049-01-02 07:30:00,-16.57,0.01,0.69,782.47
2049-01-02 08:00:00,-16.46,0.18,0.74,784.95
2049-01-02 08:30:00,-16.35,0.35,0.83,789.57
