datetime,temperature,lighting,humidity,pressure
2049-01-01 00:00:00,-18.0,-1000000.0,0.71,786.59
2049-01-01 00:30:00,-17.99,-1.0,0.77,789400000.0
2049-01-01 01:00:00,-17.96,-1000000.0,760000.0,788.88
2049-01-01 01:30:00,-17.92,-1.0,0.77,789.28
2049-01-01 02:00:00,-17860000.0,-0.99,800000.0,790590000.0
2049-01-01 02:30:00,-17780000.0,-0.98,0.79,789.99
2049-01-01 03:00:00,-17.7,-0.95,0.7,785.63
2049-01-01 03:30:00,-17.59,-0.92,0.75,
2049-01-01 04:00:00,-17480000.0,-0.87,0.76,788.09
2049-01-01 04:30:00,-17.36,-0.79,0.72,786.01
2049-01-01 05:00:00,-17.23,-0.7,0.73,786.27
2049-01-01 05:30:00,-17.1,-0.6,0.71,785.12
2049-01-01 06:00:00,,-0.47,0.76,787.26
2049-01-01 06:30:00,-16.83,-0.32,0.76,787.03
2049-01-01 07:00:00,-16.7,-0.16,740000.0,785880000.0
2049-01-01 07:30:00,-16580000.0,0.01,0.78,787.56
2049-01-01 08:00:00,-16.46,0.18,0.77,786.9
2049-01-01 08:30:00,-16.35,0.35,0.74,785.31
2049-01-01 09:00:00,,0.52,0.76,786.1
2049-01-01 09:30:00,-16.18,0.66,0.67,781.73
2049-01-01 10:00:00,-16.11,0.79,0.68,
2049-01-01 10:30:00,-16.05,0.89,0.8,787.64
2049-01-01 11:00:00,-16.02,960000.0,780000.0,786.65
2049-01-01 11:30:00,-16.0,1.0,700000.0,782.85
2049-01-01 12:00:00,-16.0,1.0,0.68,781.91
2049-01-01 12:30:00,-16.02,0.96,0.81,788.06
2049-01-01 13:00:00,-16050000.0,0.89,0.78,786.7
2049-01-01 13:30:00,-16.11,0.79,0.76,785.86
2049-01-01 14:00:00,-16.17,660000.0,0.78,786.89
2049-01-01 14:30:00,-16.26,0.52,0.82,788.92
2049-01-01 15:00:00,-16.35,0.35,0.75,785780000.0
2049-01-01 15:30:00,-16.46,0.18,730000.0,785.02
2049-01-01 16:00:00,-16.58,0.01,0.8,788.51
2049-01-01 16:30:00,-16.7,-0.16,0.76,786.82
